Algorithm,DataSize,ExecutionType,ThreadCount,AverageTime
MERGE_SORT,50000,Serial,1,7
MERGE_SORT,50000,Parallel,4,15
MERGE_SORT,50000,Parallel,6,6
MERGE_SORT,50000,Parallel,8,6
MERGE_SORT,100000,Serial,1,12
MERGE_SORT,100000,Parallel,4,9
MERGE_SORT,100000,Parallel,6,8
MERGE_SORT,100000,Parallel,8,9
MERGE_SORT,150000,Serial,1,16
MERGE_SORT,150000,Parallel,4,17
MERGE_SORT,150000,Parallel,6,16
MERGE_SORT,150000,Parallel,8,17
MERGE_SORT,200000,Serial,1,23
MERGE_SORT,200000,Parallel,4,17
MERGE_SORT,200000,Parallel,6,16
MERGE_SORT,200000,Parallel,8,16
MERGE_SORT,250000,Serial,1,25
MERGE_SORT,250000,Parallel,4,16
MERGE_SORT,250000,Parallel,6,17
MERGE_SORT,250000,Parallel,8,16
MERGE_SORT,300000,Serial,1,32
MERGE_SORT,300000,Parallel,4,28
MERGE_SORT,300000,Parallel,6,28
MERGE_SORT,300000,Parallel,8,28
SELECTION_SORT,50000,Serial,1,620
SELECTION_SORT,50000,Parallel,4,51
SELECTION_SORT,50000,Parallel,6,26
SELECTION_SORT,50000,Parallel,8,20
SELECTION_SORT,100000,Serial,1,1776
SELECTION_SORT,100000,Parallel,4,122
SELECTION_SORT,100000,Parallel,6,104
SELECTION_SORT,100000,Parallel,8,63
SELECTION_SORT,150000,Serial,1,4035
SELECTION_SORT,150000,Parallel,4,274
SELECTION_SORT,150000,Parallel,6,224
SELECTION_SORT,150000,Parallel,8,136
SELECTION_SORT,200000,Serial,1,7113
SELECTION_SORT,200000,Parallel,4,493
SELECTION_SORT,200000,Parallel,6,392
SELECTION_SORT,200000,Parallel,8,250
SELECTION_SORT,250000,Serial,1,11985
SELECTION_SORT,250000,Parallel,4,815
SELECTION_SORT,250000,Parallel,6,579
SELECTION_SORT,250000,Parallel,8,444
SELECTION_SORT,300000,Serial,1,17151
SELECTION_SORT,300000,Parallel,4,1924
SELECTION_SORT,300000,Parallel,6,1410
SELECTION_SORT,300000,Parallel,8,1019
INSERTION_SORT,50000,Serial,1,437
INSERTION_SORT,50000,Parallel,4,74
INSERTION_SORT,50000,Parallel,6,42
INSERTION_SORT,50000,Parallel,8,35
INSERTION_SORT,100000,Serial,1,716
INSERTION_SORT,100000,Parallel,4,186
INSERTION_SORT,100000,Parallel,6,177
INSERTION_SORT,100000,Parallel,8,107
INSERTION_SORT,150000,Serial,1,1559
INSERTION_SORT,150000,Parallel,4,484
INSERTION_SORT,150000,Parallel,6,376
INSERTION_SORT,150000,Parallel,8,255
INSERTION_SORT,200000,Serial,1,2855
INSERTION_SORT,200000,Parallel,4,954
INSERTION_SORT,200000,Parallel,6,688
INSERTION_SORT,200000,Parallel,8,512
INSERTION_SORT,250000,Serial,1,4305
INSERTION_SORT,250000,Parallel,4,1660
INSERTION_SORT,250000,Parallel,6,1144
INSERTION_SORT,250000,Parallel,8,780
INSERTION_SORT,300000,Serial,1,6897
INSERTION_SORT,300000,Parallel,4,2494
INSERTION_SORT,300000,Parallel,6,1609
INSERTION_SORT,300000,Parallel,8,1164
BUBBLE_SORT,50000,Serial,1,3471
BUBBLE_SORT,50000,Parallel,4,366
BUBBLE_SORT,50000,Parallel,6,272
BUBBLE_SORT,50000,Parallel,8,175
BUBBLE_SORT,100000,Serial,1,12509
BUBBLE_SORT,100000,Parallel,4,1945
BUBBLE_SORT,100000,Parallel,6,1208
BUBBLE_SORT,100000,Parallel,8,788
BUBBLE_SORT,150000,Serial,1,31878
BUBBLE_SORT,150000,Parallel,4,4570
BUBBLE_SORT,150000,Parallel,6,2628
BUBBLE_SORT,150000,Parallel,8,1814
BUBBLE_SORT,200000,Serial,1,49854
BUBBLE_SORT,200000,Parallel,4,8237
BUBBLE_SORT,200000,Parallel,6,4885
BUBBLE_SORT,200000,Parallel,8,3280
BUBBLE_SORT,250000,Serial,1,78350
BUBBLE_SORT,250000,Parallel,4,12957
BUBBLE_SORT,250000,Parallel,6,7592
BUBBLE_SORT,250000,Parallel,8,5191
BUBBLE_SORT,300000,Serial,1,113972
BUBBLE_SORT,300000,Parallel,4,19804
BUBBLE_SORT,300000,Parallel,6,12438
BUBBLE_SORT,300000,Parallel,8,8452
